FID	IID	BGNP_YangZ15
1701	1701	127.3
1702	1702	307.3
1703	1703	98.3
1704	1704	70.0
1705	1705	78.3
1706	1706	45.3
1707	1707	62.7
1708	1708	NA
1709	1709	NA
1710	1710	95.7
1711	1711	46.7
1712	1712	78.3
1713	1713	64.0
1714	1714	NA
1715	1715	126.7
1716	1716	45.0
1717	1717	119.3
1718	1718	NA
1719	1719	NA
1720	1720	NA
1721	1721	87.7
1722	1722	143.3
1723	1723	149.0
1724	1724	42.3
1725	1725	83.7
1726	1726	39.7
1727	1727	124.7
1728	1728	NA
1729	1729	103.0
1730	1730	NA
1731	1731	NA
1732	1732	NA
1733	1733	65.7
1734	1734	NA
1735	1735	NA
1736	1736	NA
1737	1737	132.7
1738	1738	115.0
1739	1739	NA
1740	1740	NA
1741	1741	87.0
1742	1742	NA
1743	1743	NA
1744	1744	44.7
1745	1745	NA
1746	1746	45.3
1747	1747	98.3
1748	1748	81.3
1749	1749	138.3
1750	1750	39.0
1751	1751	378.7
1752	1752	33.7
1753	1753	115.0
1754	1754	59.3
1755	1755	126.3
1756	1756	132.7
1757	1757	NA
1758	1758	59.7
1759	1759	NA
1760	1760	167.3
1761	1761	141.3
1762	1762	337.7
1763	1763	NA
1764	1764	61.0
1765	1765	146.0
1766	1766	31.0
1767	1767	NA
1768	1768	NA
1769	1769	77.0
1770	1770	212.0
1771	1771	72.7
1772	1772	148.3
1773	1773	138.3
1774	1774	370.7
1775	1775	37.7
1776	1776	161.7
1777	1777	308.0
1778	1778	176.0
1779	1779	128.3
1780	1780	NA
1781	1781	NA
1783	1783	144.3
1784	1784	499.7
1787	1787	NA
1788	1788	78.7
1789	1789	165.0
1790	1790	191.0
1791	1791	208.7
1792	1792	57.0
1793	1793	161.7
1794	1794	140.0
1795	1795	136.0
1796	1796	120.7
1797	1797	103.0
1798	1798	141.3
1800	1800	330.7
1802	1802	344.3
1804	1804	237.3
1805	1805	159.7
1806	1806	NA
1808	1808	106.3
1809	1809	NA
1810	1810	NA
1811	1811	28.3
1812	1812	NA
1813	1813	NA
EZ5	EZ5	257.7
GS179	GS179	NA
GS190	GS190	NA
GS193	GS193	NA
GS202	GS202	NA
GS208	GS208	NA
GS209	GS209	NA
GS210	GS210	NA
GS211	GS211	NA
GS212	GS212	NA
GS217	GS217	NA
GS218	GS218	NA
GS228	GS228	NA
GS230	GS230	NA
GS232	GS232	NA
GS233	GS233	NA
GS234	GS234	NA
GS235	GS235	NA
L10	L10	128.3
L11	L11	102.7
L1	L1	NA
L13	L13	NA
L14	L14	NA
L15	L15	NA
L16	L16	NA
L17	L17	106.0
L18	L18	160.7
L19	L19	NA
L20	L20	146.0
L21	L21	NA
L2	L2	NA
L22	L22	390.7
L23	L23	299.7
L24	L24	NA
L25	L25	114.7
L26	L26	NA
L27	L27	174.3
L28	L28	325.7
L29	L29	182.0
L3	L3	NA
L4	L4	NA
L5	L5	92.0
L6	L6	370.0
L7	L7	6.6
L8	L8	8.5
L9	L9	150.3
wyj30	wyj30	123.0
Y10	Y10	45.7
Y104	Y104	115.7
Y105	Y105	33.0
Y106	Y106	20.5
Y107	Y107	164.0
Y108	Y108	55.3
Y109	Y109	123.3
Y110	Y110	69.3
Y11	Y11	43.0
Y114	Y114	101.0
Y1	Y1	92.3
Y121	Y121	152.7
Y12	Y12	84.0
Y123	Y123	58.0
Y125	Y125	175.0
Y131	Y131	59.7
Y13	Y13	77.3
Y14	Y14	48.0
Y15	Y15	110.7
Y17	Y17	43.7
Y18	Y18	47.0
Y19	Y19	26.3
Y20	Y20	51.3
Y210	Y210	20.3
Y21	Y21	59.3
Y219	Y219	77.0
Y2	Y2	48.7
Y220	Y220	20.9
Y22	Y22	44.7
Y229	Y229	43.7
Y23	Y23	50.7
Y24	Y24	42.7
Y243	Y243	73.7
Y244	Y244	22.3
Y245	Y245	26.7
Y246	Y246	32.0
Y247	Y247	52.7
Y248	Y248	NA
Y249	Y249	NA
Y250	Y250	NA
Y251	Y251	205.3
Y25	Y25	148.0
Y252	Y252	NA
Y253	Y253	52.0
Y254	Y254	44.7
Y255	Y255	NA
Y256	Y256	135.7
Y257	Y257	14.9
Y3	Y3	70.3
Y4	Y4	74.3
Y42	Y42	140.3
Y5	Y5	99.0
Y6	Y6	63.0
Y7	Y7	72.7
Y8	Y8	62.7
Y86	Y86	119.0
Y87	Y87	44.7
Y88	Y88	103.3
Y90	Y90	157.3
Y91	Y91	54.3
Y9	Y9	37.3
Y92	Y92	62.3
Y94	Y94	68.7
Y95	Y95	55.3
Y96	Y96	38.7
Y97	Y97	69.0
Y99	Y99	69.3
yangzhou_199_100	yangzhou_199_100	82.0
yangzhou_199_101	yangzhou_199_101	51.3
yangzhou_199_10	yangzhou_199_10	41.7
yangzhou_199_102	yangzhou_199_102	43.0
yangzhou_199_103	yangzhou_199_103	37.3
yangzhou_199_104	yangzhou_199_104	19.3
yangzhou_199_105	yangzhou_199_105	49.7
yangzhou_199_106	yangzhou_199_106	68.0
yangzhou_199_107	yangzhou_199_107	24.0
yangzhou_199_108	yangzhou_199_108	70.0
yangzhou_199_109	yangzhou_199_109	23.7
yangzhou_199_110	yangzhou_199_110	41.3
yangzhou_199_111	yangzhou_199_111	76.0
yangzhou_199_11	yangzhou_199_11	53.7
yangzhou_199_112	yangzhou_199_112	69.3
yangzhou_199_113	yangzhou_199_113	127.3
yangzhou_199_114	yangzhou_199_114	494.0
yangzhou_199_115	yangzhou_199_115	349.0
yangzhou_199_116	yangzhou_199_116	177.0
yangzhou_199_117	yangzhou_199_117	523.7
yangzhou_199_118	yangzhou_199_118	219.0
yangzhou_199_119	yangzhou_199_119	447.7
yangzhou_199_1	yangzhou_199_1	36.7
yangzhou_199_120	yangzhou_199_120	292.3
yangzhou_199_121	yangzhou_199_121	302.3
yangzhou_199_12	yangzhou_199_12	29.3
yangzhou_199_122	yangzhou_199_122	564.7
yangzhou_199_123	yangzhou_199_123	60.0
yangzhou_199_124	yangzhou_199_124	689.7
yangzhou_199_125	yangzhou_199_125	765.0
yangzhou_199_126	yangzhou_199_126	306.3
yangzhou_199_127	yangzhou_199_127	439.3
yangzhou_199_128	yangzhou_199_128	226.7
yangzhou_199_129	yangzhou_199_129	61.3
yangzhou_199_130	yangzhou_199_130	82.3
yangzhou_199_131	yangzhou_199_131	189.3
yangzhou_199_13	yangzhou_199_13	38.3
yangzhou_199_132	yangzhou_199_132	441.7
yangzhou_199_133	yangzhou_199_133	100.0
yangzhou_199_134	yangzhou_199_134	50.7
yangzhou_199_135	yangzhou_199_135	318.0
yangzhou_199_136	yangzhou_199_136	143.0
yangzhou_199_137	yangzhou_199_137	278.0
yangzhou_199_138	yangzhou_199_138	381.3
yangzhou_199_139	yangzhou_199_139	133.0
yangzhou_199_140	yangzhou_199_140	110.3
yangzhou_199_141	yangzhou_199_141	316.3
yangzhou_199_14	yangzhou_199_14	60.0
yangzhou_199_142	yangzhou_199_142	465.7
yangzhou_199_143	yangzhou_199_143	974.3
yangzhou_199_144	yangzhou_199_144	439.7
yangzhou_199_145	yangzhou_199_145	222.3
yangzhou_199_146	yangzhou_199_146	154.0
yangzhou_199_147	yangzhou_199_147	131.7
yangzhou_199_148	yangzhou_199_148	46.7
yangzhou_199_149	yangzhou_199_149	83.0
yangzhou_199_150	yangzhou_199_150	282.3
yangzhou_199_151	yangzhou_199_151	492.7
yangzhou_199_15	yangzhou_199_15	42.7
yangzhou_199_152	yangzhou_199_152	213.7
yangzhou_199_153	yangzhou_199_153	146.0
yangzhou_199_154	yangzhou_199_154	363.0
yangzhou_199_155	yangzhou_199_155	355.0
yangzhou_199_156	yangzhou_199_156	33.7
yangzhou_199_157	yangzhou_199_157	232.0
yangzhou_199_158	yangzhou_199_158	54.7
yangzhou_199_159	yangzhou_199_159	156.0
yangzhou_199_160	yangzhou_199_160	58.7
yangzhou_199_161	yangzhou_199_161	49.0
yangzhou_199_16	yangzhou_199_16	93.3
yangzhou_199_162	yangzhou_199_162	54.3
yangzhou_199_163	yangzhou_199_163	133.7
yangzhou_199_164	yangzhou_199_164	42.0
yangzhou_199_165	yangzhou_199_165	31.3
yangzhou_199_166	yangzhou_199_166	61.0
yangzhou_199_167	yangzhou_199_167	54.3
yangzhou_199_168	yangzhou_199_168	10.9
yangzhou_199_169	yangzhou_199_169	252.3
yangzhou_199_170	yangzhou_199_170	107.7
yangzhou_199_171	yangzhou_199_171	238.7
yangzhou_199_17	yangzhou_199_17	48.7
yangzhou_199_172	yangzhou_199_172	95.7
yangzhou_199_173	yangzhou_199_173	35.0
yangzhou_199_174	yangzhou_199_174	613.3
yangzhou_199_175	yangzhou_199_175	247.0
yangzhou_199_176	yangzhou_199_176	394.7
yangzhou_199_177	yangzhou_199_177	117.7
yangzhou_199_178	yangzhou_199_178	110.0
yangzhou_199_179	yangzhou_199_179	189.0
yangzhou_199_180	yangzhou_199_180	47.0
yangzhou_199_181	yangzhou_199_181	112.7
yangzhou_199_18	yangzhou_199_18	34.0
yangzhou_199_182	yangzhou_199_182	109.0
yangzhou_199_183	yangzhou_199_183	87.7
yangzhou_199_184	yangzhou_199_184	44.3
yangzhou_199_185	yangzhou_199_185	42.7
yangzhou_199_186	yangzhou_199_186	89.3
yangzhou_199_187	yangzhou_199_187	181.3
yangzhou_199_188	yangzhou_199_188	110.7
yangzhou_199_189	yangzhou_199_189	101.3
yangzhou_199_190	yangzhou_199_190	52.7
yangzhou_199_191	yangzhou_199_191	324.7
yangzhou_199_19	yangzhou_199_19	63.0
yangzhou_199_192	yangzhou_199_192	192.7
yangzhou_199_193	yangzhou_199_193	71.0
yangzhou_199_194	yangzhou_199_194	92.3
yangzhou_199_195	yangzhou_199_195	90.3
yangzhou_199_196	yangzhou_199_196	522.3
yangzhou_199_197	yangzhou_199_197	109.7
yangzhou_199_198	yangzhou_199_198	72.3
yangzhou_199_199	yangzhou_199_199	227.7
yangzhou_199_20	yangzhou_199_20	428.3
yangzhou_199_21	yangzhou_199_21	91.0
yangzhou_199_2	yangzhou_199_2	27.0
yangzhou_199_22	yangzhou_199_22	25.3
yangzhou_199_23	yangzhou_199_23	72.0
yangzhou_199_24	yangzhou_199_24	66.3
yangzhou_199_25	yangzhou_199_25	97.0
yangzhou_199_26	yangzhou_199_26	92.0
yangzhou_199_27	yangzhou_199_27	26.7
yangzhou_199_28	yangzhou_199_28	168.3
yangzhou_199_29	yangzhou_199_29	37.7
yangzhou_199_30	yangzhou_199_30	123.7
yangzhou_199_31	yangzhou_199_31	42.7
yangzhou_199_3	yangzhou_199_3	34.7
yangzhou_199_32	yangzhou_199_32	58.3
yangzhou_199_33	yangzhou_199_33	87.0
yangzhou_199_34	yangzhou_199_34	7.0
yangzhou_199_35	yangzhou_199_35	30.9
yangzhou_199_36	yangzhou_199_36	361.7
yangzhou_199_37	yangzhou_199_37	138.3
yangzhou_199_38	yangzhou_199_38	34.3
yangzhou_199_39	yangzhou_199_39	52.7
yangzhou_199_40	yangzhou_199_40	112.3
yangzhou_199_41	yangzhou_199_41	76.7
yangzhou_199_4	yangzhou_199_4	39.7
yangzhou_199_42	yangzhou_199_42	46.7
yangzhou_199_43	yangzhou_199_43	23.7
yangzhou_199_44	yangzhou_199_44	53.3
yangzhou_199_45	yangzhou_199_45	103.3
yangzhou_199_46	yangzhou_199_46	8.6
yangzhou_199_47	yangzhou_199_47	92.3
yangzhou_199_48	yangzhou_199_48	22.6
yangzhou_199_49	yangzhou_199_49	172.3
yangzhou_199_50	yangzhou_199_50	3.9
yangzhou_199_51	yangzhou_199_51	91.0
yangzhou_199_5	yangzhou_199_5	57.7
yangzhou_199_52	yangzhou_199_52	34.5
yangzhou_199_53	yangzhou_199_53	54.3
yangzhou_199_54	yangzhou_199_54	21.5
yangzhou_199_55	yangzhou_199_55	8.9
yangzhou_199_56	yangzhou_199_56	471.0
yangzhou_199_57	yangzhou_199_57	72.7
yangzhou_199_58	yangzhou_199_58	29.3
yangzhou_199_59	yangzhou_199_59	122.3
yangzhou_199_60	yangzhou_199_60	10.6
yangzhou_199_61	yangzhou_199_61	29.6
yangzhou_199_6	yangzhou_199_6	45.3
yangzhou_199_62	yangzhou_199_62	45.7
yangzhou_199_63	yangzhou_199_63	210.0
yangzhou_199_64	yangzhou_199_64	15.4
yangzhou_199_65	yangzhou_199_65	231.3
yangzhou_199_66	yangzhou_199_66	9.3
yangzhou_199_67	yangzhou_199_67	128.0
yangzhou_199_68	yangzhou_199_68	13.2
yangzhou_199_69	yangzhou_199_69	75.0
yangzhou_199_70	yangzhou_199_70	54.7
yangzhou_199_71	yangzhou_199_71	53.7
yangzhou_199_7	yangzhou_199_7	100.0
yangzhou_199_72	yangzhou_199_72	81.0
yangzhou_199_73	yangzhou_199_73	69.7
yangzhou_199_74	yangzhou_199_74	118.3
yangzhou_199_75	yangzhou_199_75	105.7
yangzhou_199_76	yangzhou_199_76	247.3
yangzhou_199_77	yangzhou_199_77	101.0
yangzhou_199_78	yangzhou_199_78	64.0
yangzhou_199_79	yangzhou_199_79	40.0
yangzhou_199_80	yangzhou_199_80	32.7
yangzhou_199_81	yangzhou_199_81	44.3
yangzhou_199_8	yangzhou_199_8	36.3
yangzhou_199_82	yangzhou_199_82	100.3
yangzhou_199_83	yangzhou_199_83	136.3
yangzhou_199_84	yangzhou_199_84	91.0
yangzhou_199_85	yangzhou_199_85	68.3
yangzhou_199_86	yangzhou_199_86	32.3
yangzhou_199_87	yangzhou_199_87	61.0
yangzhou_199_88	yangzhou_199_88	98.3
yangzhou_199_89	yangzhou_199_89	216.0
yangzhou_199_90	yangzhou_199_90	60.0
yangzhou_199_91	yangzhou_199_91	376.0
yangzhou_199_9	yangzhou_199_9	46.0
yangzhou_199_92	yangzhou_199_92	79.0
yangzhou_199_93	yangzhou_199_93	295.7
yangzhou_199_94	yangzhou_199_94	263.0
yangzhou_199_95	yangzhou_199_95	524.0
yangzhou_199_96	yangzhou_199_96	269.7
yangzhou_199_97	yangzhou_199_97	137.0
yangzhou_199_98	yangzhou_199_98	90.7
yangzhou_199_99	yangzhou_199_99	49.7
yangzhou_226_100	yangzhou_226_100	134.7
yangzhou_226_101	yangzhou_226_101	89.3
yangzhou_226_10	yangzhou_226_10	181.0
yangzhou_226_102	yangzhou_226_102	114.0
yangzhou_226_103	yangzhou_226_103	147.7
yangzhou_226_104	yangzhou_226_104	180.7
yangzhou_226_105	yangzhou_226_105	65.3
yangzhou_226_106	yangzhou_226_106	103.3
yangzhou_226_107	yangzhou_226_107	101.7
yangzhou_226_108	yangzhou_226_108	70.0
yangzhou_226_109	yangzhou_226_109	151.0
yangzhou_226_110	yangzhou_226_110	97.7
yangzhou_226_111	yangzhou_226_111	122.3
yangzhou_226_11	yangzhou_226_11	354.3
yangzhou_226_112	yangzhou_226_112	168.7
yangzhou_226_113	yangzhou_226_113	308.3
yangzhou_226_114	yangzhou_226_114	304.3
yangzhou_226_115	yangzhou_226_115	267.7
yangzhou_226_116	yangzhou_226_116	176.0
yangzhou_226_117	yangzhou_226_117	294.3
yangzhou_226_118	yangzhou_226_118	117.7
yangzhou_226_119	yangzhou_226_119	256.0
yangzhou_226_1	yangzhou_226_1	145.0
yangzhou_226_120	yangzhou_226_120	93.0
yangzhou_226_121	yangzhou_226_121	108.3
yangzhou_226_12	yangzhou_226_12	184.0
yangzhou_226_122	yangzhou_226_122	140.7
yangzhou_226_123	yangzhou_226_123	0.0
yangzhou_226_124	yangzhou_226_124	121.3
yangzhou_226_125	yangzhou_226_125	431.3
yangzhou_226_126	yangzhou_226_126	292.0
yangzhou_226_127	yangzhou_226_127	251.3
yangzhou_226_128	yangzhou_226_128	156.7
yangzhou_226_129	yangzhou_226_129	190.3
yangzhou_226_130	yangzhou_226_130	153.0
yangzhou_226_131	yangzhou_226_131	322.0
yangzhou_226_13	yangzhou_226_13	80.7
yangzhou_226_132	yangzhou_226_132	340.0
yangzhou_226_133	yangzhou_226_133	224.0
yangzhou_226_134	yangzhou_226_134	218.7
yangzhou_226_135	yangzhou_226_135	302.7
yangzhou_226_136	yangzhou_226_136	197.3
yangzhou_226_137	yangzhou_226_137	140.0
yangzhou_226_138	yangzhou_226_138	457.7
yangzhou_226_139	yangzhou_226_139	227.3
yangzhou_226_140	yangzhou_226_140	233.7
yangzhou_226_141	yangzhou_226_141	175.3
yangzhou_226_14	yangzhou_226_14	175.3
yangzhou_226_142	yangzhou_226_142	292.0
yangzhou_226_143	yangzhou_226_143	262.3
yangzhou_226_144	yangzhou_226_144	334.3
yangzhou_226_145	yangzhou_226_145	250.3
yangzhou_226_146	yangzhou_226_146	210.0
yangzhou_226_147	yangzhou_226_147	231.7
yangzhou_226_148	yangzhou_226_148	157.3
yangzhou_226_149	yangzhou_226_149	113.0
yangzhou_226_150	yangzhou_226_150	265.3
yangzhou_226_151	yangzhou_226_151	209.7
yangzhou_226_15	yangzhou_226_15	112.3
yangzhou_226_152	yangzhou_226_152	148.3
yangzhou_226_153	yangzhou_226_153	192.3
yangzhou_226_154	yangzhou_226_154	152.3
yangzhou_226_155	yangzhou_226_155	334.0
yangzhou_226_156	yangzhou_226_156	185.7
yangzhou_226_157	yangzhou_226_157	281.0
yangzhou_226_158	yangzhou_226_158	268.7
yangzhou_226_159	yangzhou_226_159	133.3
yangzhou_226_160	yangzhou_226_160	207.7
yangzhou_226_161	yangzhou_226_161	195.3
yangzhou_226_16	yangzhou_226_16	214.0
yangzhou_226_162	yangzhou_226_162	111.0
yangzhou_226_163	yangzhou_226_163	345.7
yangzhou_226_164	yangzhou_226_164	72.7
yangzhou_226_165	yangzhou_226_165	234.3
yangzhou_226_166	yangzhou_226_166	NA
yangzhou_226_167	yangzhou_226_167	467.3
yangzhou_226_168	yangzhou_226_168	244.7
yangzhou_226_169	yangzhou_226_169	238.0
yangzhou_226_170	yangzhou_226_170	439.3
yangzhou_226_171	yangzhou_226_171	176.0
yangzhou_226_17	yangzhou_226_17	126.0
yangzhou_226_172	yangzhou_226_172	228.0
yangzhou_226_173	yangzhou_226_173	238.7
yangzhou_226_174	yangzhou_226_174	278.0
yangzhou_226_175	yangzhou_226_175	269.7
yangzhou_226_176	yangzhou_226_176	328.3
yangzhou_226_177	yangzhou_226_177	196.0
yangzhou_226_178	yangzhou_226_178	286.0
yangzhou_226_179	yangzhou_226_179	215.3
yangzhou_226_180	yangzhou_226_180	54.3
yangzhou_226_18	yangzhou_226_18	550.3
yangzhou_226_182	yangzhou_226_182	90.3
yangzhou_226_183	yangzhou_226_183	26.6
yangzhou_226_184	yangzhou_226_184	137.3
yangzhou_226_185	yangzhou_226_185	322.0
yangzhou_226_186	yangzhou_226_186	171.3
yangzhou_226_187	yangzhou_226_187	25.8
yangzhou_226_188	yangzhou_226_188	39.4
yangzhou_226_189	yangzhou_226_189	31.3
yangzhou_226_190	yangzhou_226_190	400.7
yangzhou_226_191	yangzhou_226_191	11.7
yangzhou_226_19	yangzhou_226_19	391.0
yangzhou_226_192	yangzhou_226_192	161.7
yangzhou_226_193	yangzhou_226_193	42.3
yangzhou_226_194	yangzhou_226_194	1157.7
yangzhou_226_195	yangzhou_226_195	65.7
yangzhou_226_196	yangzhou_226_196	210.0
yangzhou_226_197	yangzhou_226_197	424.7
yangzhou_226_198	yangzhou_226_198	162.0
yangzhou_226_199	yangzhou_226_199	219.0
yangzhou_226_200	yangzhou_226_200	55.3
yangzhou_226_201	yangzhou_226_201	99.3
yangzhou_226_20	yangzhou_226_20	178.3
yangzhou_226_202	yangzhou_226_202	126.3
yangzhou_226_203	yangzhou_226_203	101.7
yangzhou_226_204	yangzhou_226_204	155.3
yangzhou_226_205	yangzhou_226_205	139.3
yangzhou_226_206	yangzhou_226_206	82.7
yangzhou_226_207	yangzhou_226_207	315.7
yangzhou_226_208	yangzhou_226_208	99.0
yangzhou_226_209	yangzhou_226_209	334.0
yangzhou_226_210	yangzhou_226_210	37.6
yangzhou_226_211	yangzhou_226_211	297.7
yangzhou_226_21	yangzhou_226_21	86.3
yangzhou_226_212	yangzhou_226_212	320.0
yangzhou_226_213	yangzhou_226_213	327.3
yangzhou_226_214	yangzhou_226_214	196.3
yangzhou_226_215	yangzhou_226_215	173.3
yangzhou_226_216	yangzhou_226_216	349.0
yangzhou_226_217	yangzhou_226_217	94.0
yangzhou_226_218	yangzhou_226_218	17.9
yangzhou_226_219	yangzhou_226_219	15.5
yangzhou_226_2	yangzhou_226_2	84.0
yangzhou_226_220	yangzhou_226_220	125.7
yangzhou_226_221	yangzhou_226_221	99.3
yangzhou_226_22	yangzhou_226_22	180.0
yangzhou_226_222	yangzhou_226_222	625.3
yangzhou_226_223	yangzhou_226_223	160.0
yangzhou_226_224	yangzhou_226_224	111.0
yangzhou_226_225	yangzhou_226_225	221.7
yangzhou_226_226	yangzhou_226_226	172.0
yangzhou_226_23	yangzhou_226_23	233.0
yangzhou_226_24	yangzhou_226_24	238.7
yangzhou_226_25	yangzhou_226_25	231.0
yangzhou_226_26	yangzhou_226_26	122.3
yangzhou_226_27	yangzhou_226_27	90.7
yangzhou_226_28	yangzhou_226_28	268.7
yangzhou_226_29	yangzhou_226_29	158.0
yangzhou_226_30	yangzhou_226_30	165.3
yangzhou_226_31	yangzhou_226_31	403.3
yangzhou_226_3	yangzhou_226_3	312.3
yangzhou_226_32	yangzhou_226_32	133.7
yangzhou_226_33	yangzhou_226_33	108.7
yangzhou_226_34	yangzhou_226_34	16.3
yangzhou_226_35	yangzhou_226_35	163.7
yangzhou_226_36	yangzhou_226_36	599.7
yangzhou_226_37	yangzhou_226_37	0.0
yangzhou_226_38	yangzhou_226_38	0.0
yangzhou_226_39	yangzhou_226_39	0.0
yangzhou_226_40	yangzhou_226_40	0.0
yangzhou_226_41	yangzhou_226_41	0.0
yangzhou_226_4	yangzhou_226_4	156.3
yangzhou_226_42	yangzhou_226_42	0.0
yangzhou_226_43	yangzhou_226_43	0.0
yangzhou_226_44	yangzhou_226_44	0.0
yangzhou_226_45	yangzhou_226_45	0.0
yangzhou_226_46	yangzhou_226_46	0.0
yangzhou_226_47	yangzhou_226_47	0.0
yangzhou_226_48	yangzhou_226_48	0.0
yangzhou_226_49	yangzhou_226_49	0.0
yangzhou_226_50	yangzhou_226_50	0.0
yangzhou_226_51	yangzhou_226_51	0.0
yangzhou_226_5	yangzhou_226_5	322.7
yangzhou_226_53	yangzhou_226_53	0.0
yangzhou_226_54	yangzhou_226_54	157.3
yangzhou_226_55	yangzhou_226_55	180.3
yangzhou_226_56	yangzhou_226_56	130.3
yangzhou_226_57	yangzhou_226_57	198.7
yangzhou_226_58	yangzhou_226_58	140.0
yangzhou_226_59	yangzhou_226_59	356.3
yangzhou_226_60	yangzhou_226_60	161.3
yangzhou_226_61	yangzhou_226_61	207.7
yangzhou_226_6	yangzhou_226_6	137.3
yangzhou_226_62	yangzhou_226_62	131.3
yangzhou_226_63	yangzhou_226_63	163.7
yangzhou_226_64	yangzhou_226_64	118.0
yangzhou_226_65	yangzhou_226_65	53.3
yangzhou_226_66	yangzhou_226_66	112.0
yangzhou_226_67	yangzhou_226_67	376.0
yangzhou_226_68	yangzhou_226_68	302.3
yangzhou_226_69	yangzhou_226_69	221.0
yangzhou_226_70	yangzhou_226_70	99.7
yangzhou_226_71	yangzhou_226_71	138.3
yangzhou_226_7	yangzhou_226_7	344.0
yangzhou_226_72	yangzhou_226_72	111.3
yangzhou_226_73	yangzhou_226_73	231.3
yangzhou_226_74	yangzhou_226_74	285.7
yangzhou_226_75	yangzhou_226_75	121.3
yangzhou_226_76	yangzhou_226_76	167.3
yangzhou_226_77	yangzhou_226_77	237.3
yangzhou_226_78	yangzhou_226_78	306.3
yangzhou_226_79	yangzhou_226_79	91.7
yangzhou_226_80	yangzhou_226_80	402.3
yangzhou_226_81	yangzhou_226_81	264.3
yangzhou_226_8	yangzhou_226_8	604.0
yangzhou_226_82	yangzhou_226_82	171.0
yangzhou_226_83	yangzhou_226_83	477.0
yangzhou_226_84	yangzhou_226_84	119.0
yangzhou_226_85	yangzhou_226_85	213.0
yangzhou_226_86	yangzhou_226_86	50.0
yangzhou_226_87	yangzhou_226_87	384.3
yangzhou_226_88	yangzhou_226_88	336.7
yangzhou_226_89	yangzhou_226_89	80.7
yangzhou_226_90	yangzhou_226_90	142.3
yangzhou_226_91	yangzhou_226_91	388.3
yangzhou_226_9	yangzhou_226_9	221.3
yangzhou_226_92	yangzhou_226_92	125.0
yangzhou_226_93	yangzhou_226_93	151.0
yangzhou_226_94	yangzhou_226_94	162.7
yangzhou_226_95	yangzhou_226_95	214.0
yangzhou_226_96	yangzhou_226_96	306.3
yangzhou_226_97	yangzhou_226_97	120.7
yangzhou_226_98	yangzhou_226_98	276.7
yangzhou_226_99	yangzhou_226_99	194.7
YCX333	YCX333	148.0
YCX334	YCX334	389.0
YCX335	YCX335	412.7
YCX336	YCX336	0.0
YCX337	YCX337	115.3
YCX338	YCX338	97.0
YCX339	YCX339	256.7
YCX340	YCX340	316.0
YCX341	YCX341	44.7
YCX342	YCX342	82.0
YCX343	YCX343	328.7
YCX344	YCX344	NA
YCX345	YCX345	875.3
YCX346	YCX346	931.7
YCX347	YCX347	0.0
YCX348	YCX348	16.6
YCX349	YCX349	44.5
YCX350	YCX350	137.0
YCX351	YCX351	36.3
YCX352	YCX352	389.7
YCX353	YCX353	612.3
YCX354	YCX354	177.3
YCX355	YCX355	286.7
YCX356	YCX356	243.3
YCX357	YCX357	309.3
YCX358	YCX358	142.7
YCX359	YCX359	458.7
YCX360	YCX360	241.3
YCX361	YCX361	144.7
YCX362	YCX362	228.0
YCX363	YCX363	125.3
YCX364	YCX364	54.3
YCX365	YCX365	220.0
YCX366	YCX366	195.0
YCX367	YCX367	573.0
YCX368	YCX368	176.3
YCX369	YCX369	186.7
YCX370	YCX370	450.0
YCX371	YCX371	306.7
YCX372	YCX372	137.7
YCX373	YCX373	202.7
YCX374	YCX374	344.7
YCX375	YCX375	369.0
YCX376	YCX376	257.0
YCX377	YCX377	215.7
YCX378	YCX378	254.3
YCX379	YCX379	34.5
YCX380	YCX380	237.0
YCX381	YCX381	132.3
YCX382	YCX382	272.0
YCX383	YCX383	331.3
YCX384	YCX384	14.7
YCX385	YCX385	123.0
YCX386	YCX386	98.7
YCX387	YCX387	155.3
YCX388	YCX388	169.0
YCX389	YCX389	139.3
YCX390	YCX390	13.9
YCX391	YCX391	95.3
YCX392	YCX392	73.0
YCX393	YCX393	163.0
YD12	YD12	191.0
