FID	IID	GYP_BLUP
yangzhou_199_74	yangzhou_199_74	23.243412751373
yangzhou_199_75	yangzhou_199_75	28.0326186173431
yangzhou_199_76	yangzhou_199_76	26.4089277397065
yangzhou_199_77	yangzhou_199_77	25.9495642141006
yangzhou_199_78	yangzhou_199_78	25.1138409682583
yangzhou_199_79	yangzhou_199_79	26.129216285996
yangzhou_199_80	yangzhou_199_80	27.0695470673723
yangzhou_199_81	yangzhou_199_81	28.3475782623748
yangzhou_199_8	yangzhou_199_8	27.928011081809
yangzhou_199_82	yangzhou_199_82	25.3139597318885
yangzhou_199_83	yangzhou_199_83	27.9598481578411
yangzhou_199_84	yangzhou_199_84	25.1581854670172
yangzhou_199_85	yangzhou_199_85	24.7954702079374
yangzhou_199_86	yangzhou_199_86	26.3623091640881
yangzhou_199_87	yangzhou_199_87	27.2867214074484
yangzhou_199_88	yangzhou_199_88	26.6386095025094
yangzhou_199_89	yangzhou_199_89	23.1945200988951
yangzhou_199_90	yangzhou_199_90	22.7146898815544
yangzhou_199_91	yangzhou_199_91	22.5066118489161
yangzhou_199_9	yangzhou_199_9	25.0160556633026
yangzhou_199_92	yangzhou_199_92	25.682360183117
yangzhou_199_93	yangzhou_199_93	26.5249056595377
yangzhou_199_94	yangzhou_199_94	24.4714142554679
yangzhou_199_95	yangzhou_199_95	23.7880541592077
yangzhou_199_96	yangzhou_199_96	23.4355722459952
yangzhou_199_97	yangzhou_199_97	23.7289281608624
yangzhou_199_98	yangzhou_199_98	25.2139003500734
yangzhou_199_99	yangzhou_199_99	24.4543586790221
yangzhou_226_100	yangzhou_226_100	25.9939087128596
yangzhou_226_101	yangzhou_226_101	26.9899543772921
yangzhou_226_10	yangzhou_226_10	21.6663404493548
yangzhou_226_102	yangzhou_226_102	28.1883928822143
yangzhou_226_103	yangzhou_226_103	27.5914477066127
yangzhou_226_104	yangzhou_226_104	26.3122794731805
yangzhou_226_105	yangzhou_226_105	25.585711916591
yangzhou_226_106	yangzhou_226_106	24.9876297025596
yangzhou_226_107	yangzhou_226_107	21.7993739456318
yangzhou_226_108	yangzhou_226_108	27.7119737801627
yangzhou_226_109	yangzhou_226_109	24.9364629732223
yangzhou_226_110	yangzhou_226_110	27.8245405847047
yangzhou_226_111	yangzhou_226_111	29.4061610404418
yangzhou_226_11	yangzhou_226_11	21.6481478344794
yangzhou_226_112	yangzhou_226_112	24.7352071711623
yangzhou_226_113	yangzhou_226_113	26.9876803004327
yangzhou_226_114	yangzhou_226_114	25.2969041554428
yangzhou_226_115	yangzhou_226_115	23.0467051030319
yangzhou_226_116	yangzhou_226_116	25.412882075274
yangzhou_226_117	yangzhou_226_117	25.2821226558564
yangzhou_226_118	yangzhou_226_118	27.1116174892719
yangzhou_226_119	yangzhou_226_119	25.0456186624752
yangzhou_226_1	yangzhou_226_1	20.4394759836897
yangzhou_226_120	yangzhou_226_120	25.5243118413863
yangzhou_226_121	yangzhou_226_121	24.8193480149614
yangzhou_226_12	yangzhou_226_12	19.9732902275055
yangzhou_226_122	yangzhou_226_122	27.0286136839025
yangzhou_226_123	yangzhou_226_123	22.397606792657
yangzhou_226_124	yangzhou_226_124	26.4691907764815
yangzhou_226_125	yangzhou_226_125	23.1194755625338
yangzhou_226_126	yangzhou_226_126	27.6482996280985
yangzhou_226_127	yangzhou_226_127	24.0757248819262
yangzhou_226_128	yangzhou_226_128	26.9353765326657
yangzhou_226_129	yangzhou_226_129	24.9228185120657
yangzhou_226_130	yangzhou_226_130	27.8631998913151
yangzhou_226_131	yangzhou_226_131	27.771099778508
yangzhou_226_13	yangzhou_226_13	21.8562258671177
yangzhou_226_132	yangzhou_226_132	28.7944343652538
yangzhou_226_133	yangzhou_226_133	29.3311165040804
yangzhou_226_134	yangzhou_226_134	23.6641169703685
yangzhou_226_135	yangzhou_226_135	26.5749353504452
yangzhou_226_136	yangzhou_226_136	19.9744272659352
yangzhou_226_137	yangzhou_226_137	26.0689532492209
yangzhou_226_138	yangzhou_226_138	26.4248462777225
yangzhou_226_139	yangzhou_226_139	26.1860682074818
yangzhou_226_140	yangzhou_226_140	24.728384940584
yangzhou_226_141	yangzhou_226_141	25.5311340719646
yangzhou_226_14	yangzhou_226_14	19.939179074614
yangzhou_226_142	yangzhou_226_142	26.599950195899
yangzhou_226_143	yangzhou_226_143	23.0705829100559
yangzhou_226_144	yangzhou_226_144	27.3094621760427
yangzhou_226_145	yangzhou_226_145	27.3299288677776
yangzhou_226_146	yangzhou_226_146	27.8666110066043
yangzhou_226_147	yangzhou_226_147	27.6414773975202
yangzhou_226_148	yangzhou_226_148	25.8517789091449
yangzhou_226_149	yangzhou_226_149	27.3435733289343
yangzhou_226_150	yangzhou_226_150	28.5545192565834
yangzhou_226_151	yangzhou_226_151	30.6341625445367
yangzhou_226_15	yangzhou_226_15	21.5253476840699
yangzhou_226_152	yangzhou_226_152	25.1081557761097
yangzhou_226_153	yangzhou_226_153	25.1218002372663
yangzhou_226_154	yangzhou_226_154	27.1923472177818
yangzhou_226_155	yangzhou_226_155	27.0763692979506
yangzhou_226_156	yangzhou_226_156	24.4429882947249
yangzhou_226_157	yangzhou_226_157	26.3941462401202
yangzhou_226_158	yangzhou_226_158	30.6296143908178
yangzhou_226_159	yangzhou_226_159	27.8040738929698
yangzhou_226_160	yangzhou_226_160	37.3949930476368
yangzhou_226_161	yangzhou_226_161	25.5671041932895
yangzhou_226_16	yangzhou_226_16	22.2576004328079
yangzhou_226_162	yangzhou_226_162	24.9648889339653
yangzhou_226_163	yangzhou_226_163	25.867697447161
yangzhou_226_164	yangzhou_226_164	21.617447796877
yangzhou_226_165	yangzhou_226_165	24.0211470372998
yangzhou_226_166	yangzhou_226_166	24.8176339505046
yangzhou_226_167	yangzhou_226_167	27.2412398702597
yangzhou_226_168	yangzhou_226_168	30.9445740358495
yangzhou_226_169	yangzhou_226_169	26.0609939802129
yangzhou_226_170	yangzhou_226_170	28.1201705764313
yangzhou_226_171	yangzhou_226_171	26.4009684706985
yangzhou_226_17	yangzhou_226_17	23.0683088331965
yangzhou_226_172	yangzhou_226_172	28.2850411487403
yangzhou_226_173	yangzhou_226_173	24.5589662145561
yangzhou_226_174	yangzhou_226_174	25.1252113525554
yangzhou_226_175	yangzhou_226_175	29.1162162408638
yangzhou_226_176	yangzhou_226_176	27.0649989136535
yangzhou_226_177	yangzhou_226_177	27.1650582954686
yangzhou_226_178	yangzhou_226_178	28.1997632665115
yangzhou_226_179	yangzhou_226_179	31.111718685018
yangzhou_226_180	yangzhou_226_180	22.5009266567675
yangzhou_226_18	yangzhou_226_18	24.9444222422304
yangzhou_226_182	yangzhou_226_182	26.3588980487989
yangzhou_226_183	yangzhou_226_183	29.11281748764
yangzhou_226_184	yangzhou_226_184	27.4061104425687
yangzhou_226_185	yangzhou_226_185	26.3657202793772
yangzhou_226_186	yangzhou_226_186	26.5146723136702
yangzhou_226_187	yangzhou_226_187	27.5976517064413
yangzhou_226_188	yangzhou_226_188	27.7144453085846
yangzhou_226_189	yangzhou_226_189	37.7532180618955
yangzhou_226_190	yangzhou_226_190	30.2896399003323
yangzhou_226_191	yangzhou_226_191	29.2834445516899
yangzhou_226_19	yangzhou_226_19	25.8620122550124
yangzhou_226_192	yangzhou_226_192	30.2737213623162
yangzhou_226_193	yangzhou_226_193	25.3372126041903
yangzhou_226_194	yangzhou_226_194	20.0892681473367
yangzhou_226_195	yangzhou_226_195	27.8666110066043
yangzhou_226_196	yangzhou_226_196	26.5658390430075
yangzhou_226_197	yangzhou_226_197	27.3617659438097
yangzhou_226_198	yangzhou_226_198	29.9216509554436
yangzhou_226_199	yangzhou_226_199	25.3298782699046
yangzhou_226_200	yangzhou_226_200	20.321223986999
yangzhou_226_201	yangzhou_226_201	26.7636837297783
yangzhou_226_20	yangzhou_226_20	25.4640488046112
yangzhou_226_202	yangzhou_226_202	22.2200781646273
yangzhou_226_203	yangzhou_226_203	28.6511675231094
yangzhou_226_204	yangzhou_226_204	33.0071617473571
yangzhou_226_205	yangzhou_226_205	27.0456692603483
yangzhou_226_206	yangzhou_226_206	25.1445410058606
yangzhou_226_207	yangzhou_226_207	26.7693689219269
yangzhou_226_208	yangzhou_226_208	32.162342194077
yangzhou_226_209	yangzhou_226_209	24.2860769914239
yangzhou_226_210	yangzhou_226_210	26.299395296201
yangzhou_226_211	yangzhou_226_211	29.0343494739242
yangzhou_226_21	yangzhou_226_21	22.1063743216555
yangzhou_226_212	yangzhou_226_212	28.056299443199
yangzhou_226_213	yangzhou_226_213	27.7689275458518
yangzhou_226_214	yangzhou_226_214	29.6028686887829
yangzhou_226_215	yangzhou_226_215	29.2515238140002
yangzhou_226_216	yangzhou_226_216	23.8119319662317
yangzhou_226_217	yangzhou_226_217	28.3327967627885
yangzhou_226_218	yangzhou_226_218	25.940180424517
yangzhou_226_219	yangzhou_226_219	32.095583832873
yangzhou_226_2	yangzhou_226_2	22.2303115104947
yangzhou_226_220	yangzhou_226_220	25.980264251703
yangzhou_226_221	yangzhou_226_221	27.465236440914
yangzhou_226_22	yangzhou_226_22	22.3042190084263
yangzhou_226_222	yangzhou_226_222	24.3565733740664
yangzhou_226_223	yangzhou_226_223	26.3407054339234
yangzhou_226_224	yangzhou_226_224	26.5169463905296
yangzhou_226_225	yangzhou_226_225	24.378177104231
yangzhou_226_226	yangzhou_226_226	25.3207819624668
yangzhou_226_23	yangzhou_226_23	25.0058223174351
yangzhou_226_24	yangzhou_226_24	20.7703541667375
yangzhou_226_25	yangzhou_226_25	24.0450248443238
yangzhou_226_26	yangzhou_226_26	25.3594412690772
yangzhou_226_27	yangzhou_226_27	22.5020636951972
yangzhou_226_28	yangzhou_226_28	27.896174005777
yangzhou_226_29	yangzhou_226_29	28.2645744570054
yangzhou_226_30	yangzhou_226_30	23.1888349067465
yangzhou_226_31	yangzhou_226_31	23.9347321166412
yangzhou_226_3	yangzhou_226_3	22.3087671621452
yangzhou_226_32	yangzhou_226_32	22.6009860385826
yangzhou_226_33	yangzhou_226_33	23.4617241298787
yangzhou_226_34	yangzhou_226_34	22.721848195175
yangzhou_226_35	yangzhou_226_35	25.0164850401868
yangzhou_226_36	yangzhou_226_36	27.8299072316259
yangzhou_226_37	yangzhou_226_37	22.1876143664429
yangzhou_226_38	yangzhou_226_38	23.0397393990487
yangzhou_226_39	yangzhou_226_39	21.9489269254257
yangzhou_226_40	yangzhou_226_40	24.1391131457785
yangzhou_226_41	yangzhou_226_41	24.2759829696686
yangzhou_226_4	yangzhou_226_4	22.3542486993339
yangzhou_226_42	yangzhou_226_42	19.8990920422596
yangzhou_226_43	yangzhou_226_43	22.7262633507844
yangzhou_226_44	yangzhou_226_44	21.4139624683422
yangzhou_226_45	yangzhou_226_45	19.4634633554698
yangzhou_226_46	yangzhou_226_46	21.8093827025746
yangzhou_226_47	yangzhou_226_47	21.879899253544
yangzhou_226_48	yangzhou_226_48	20.8086140977871
yangzhou_226_49	yangzhou_226_49	21.2501296587228
yangzhou_226_50	yangzhou_226_50	21.088240619713
yangzhou_226_51	yangzhou_226_51	22.1560099410709
yangzhou_226_5	yangzhou_226_5	25.8574641012935
yangzhou_226_53	yangzhou_226_53	22.0753629894663
yangzhou_226_54	yangzhou_226_54	30.7990331168457
yangzhou_226_55	yangzhou_226_55	25.4992969959325
yangzhou_226_56	yangzhou_226_56	26.4930685835056
yangzhou_226_57	yangzhou_226_57	27.0172432996053
yangzhou_226_58	yangzhou_226_58	25.4856525347759
yangzhou_226_59	yangzhou_226_59	23.0967347939394
yangzhou_226_60	yangzhou_226_60	27.2219102169545
yangzhou_226_61	yangzhou_226_61	24.0336544600266
yangzhou_226_6	yangzhou_226_6	24.1132471501069
yangzhou_226_62	yangzhou_226_62	24.9228185120657
yangzhou_226_63	yangzhou_226_63	25.2468744645352
yangzhou_226_64	yangzhou_226_64	26.1769719000441
yangzhou_226_65	yangzhou_226_65	26.8000689595293
yangzhou_226_66	yangzhou_226_66	24.4031919496848
yangzhou_226_67	yangzhou_226_67	24.2394584158055
yangzhou_226_68	yangzhou_226_68	26.83759122771
yangzhou_226_69	yangzhou_226_69	28.9672642065708
yangzhou_226_70	yangzhou_226_70	28.3862375689852
yangzhou_226_71	yangzhou_226_71	26.4441759310277
yangzhou_226_7	yangzhou_226_7	24.6453811352147
yangzhou_226_72	yangzhou_226_72	25.7505824889001
yangzhou_226_73	yangzhou_226_73	28.3180152632021
yangzhou_226_74	yangzhou_226_74	24.3326955670423
yangzhou_226_75	yangzhou_226_75	23.8699209261473
yangzhou_226_76	yangzhou_226_76	26.5874427731721
yangzhou_226_77	yangzhou_226_77	24.885296243885
yangzhou_226_78	yangzhou_226_78	24.1359879187012
yangzhou_226_79	yangzhou_226_79	27.5289105929782
yangzhou_226_80	yangzhou_226_80	25.839271486418
yangzhou_226_81	yangzhou_226_81	25.0467557009049
yangzhou_226_8	yangzhou_226_8	22.8909308381606
yangzhou_226_82	yangzhou_226_82	25.122937275696
yangzhou_226_83	yangzhou_226_83	27.603082769584
yangzhou_226_84	yangzhou_226_84	24.7511257091784
yangzhou_226_85	yangzhou_226_85	26.9763099161355
yangzhou_226_86	yangzhou_226_86	26.2872646277267
yangzhou_226_87	yangzhou_226_87	26.2486053211163
yangzhou_226_88	yangzhou_226_88	29.0104716669001
yangzhou_226_89	yangzhou_226_89	27.0559026062157
yangzhou_226_90	yangzhou_226_90	27.4447697491791
yangzhou_226_91	yangzhou_226_91	26.2144941682248
yangzhou_226_9	yangzhou_226_9	21.0273248518536
yangzhou_226_92	yangzhou_226_92	27.4390845570305
yangzhou_226_93	yangzhou_226_93	24.2121694934923
yangzhou_226_94	yangzhou_226_94	28.3009596867564
yangzhou_226_95	yangzhou_226_95	29.0161568590487
yangzhou_226_96	yangzhou_226_96	29.3197461197832
yangzhou_226_97	yangzhou_226_97	29.5482908441565
yangzhou_226_98	yangzhou_226_98	40.8947973343073
yangzhou_226_99	yangzhou_226_99	24.1484953414281
YCX333	YCX333	23.7616288552926
YCX334	YCX334	24.3915063612135
YCX335	YCX335	24.6624399733493
YCX336	YCX336	NA
YCX337	YCX337	23.3526398993933
YCX338	YCX338	24.4570826495011
YCX339	YCX339	24.7435474878103
YCX340	YCX340	24.6693427405375
YCX341	YCX341	23.4354731056514
YCX342	YCX342	24.1999545717416
YCX343	YCX343	23.2560011587588
YCX344	YCX344	NA
YCX345	YCX345	23.8392849861595
YCX346	YCX346	25.1318281421451
YCX347	YCX347	NA
YCX348	YCX348	NA
YCX349	YCX349	NA
YCX350	YCX350	23.5027750857361
YCX351	YCX351	NA
YCX352	YCX352	23.7409205537281
YCX353	YCX353	24.0049513986757
YCX354	YCX354	22.824578209498
YCX355	YCX355	24.929922201891
YCX356	YCX356	26.7781381165246
YCX357	YCX357	25.0558977030752
YCX358	YCX358	25.1715190534771
YCX359	YCX359	25.166341978086
YCX360	YCX360	26.1931285973269
YCX361	YCX361	24.5192075541947
YCX362	YCX362	26.4071143801603
YCX363	YCX363	24.9057625167324
YCX364	YCX364	NA
YCX365	YCX365	23.6908754916138
YCX366	YCX366	24.0360138510225
YCX367	YCX367	23.5510944560533
YCX368	YCX368	24.1688921193948
YCX369	YCX369	24.0049513986757
YCX370	YCX370	28.7247184635897
YCX371	YCX371	24.5692526163089
YCX372	YCX372	27.7773136670128
YCX373	YCX373	25.2094842730121
YCX374	YCX374	25.2319182663736
YCX375	YCX375	26.1655175285742
YCX376	YCX376	24.8212036186773
YCX377	YCX377	24.9143909757176
YCX378	YCX378	25.6184732289114
YCX379	YCX379	NA
YCX380	YCX380	25.5477198652326
YCX381	YCX381	25.7651570316601
YCX382	YCX382	25.8738756148738
YCX383	YCX383	23.2007790212534
YCX384	YCX384	NA
YCX385	YCX385	25.0403664769018
YCX386	YCX386	25.7944937922098
YCX387	YCX387	22.9798904712319
YCX388	YCX388	25.3613451511519
YCX389	YCX389	27.3614219439253
YCX390	YCX390	NA
YCX391	YCX391	25.8238305527596
YCX392	YCX392	24.5209332459917
YCX393	YCX393	25.9170179097999
YD12	YD12	23.1228866778229
