FID	IID	HD_BLUP
1701	1701	93.5417136964332
1702	1702	94.2028324298945
1703	1703	94.3210742357686
1704	1704	92.9632348046546
1705	1705	97.1778667304703
1706	1706	92.8805949629719
1707	1707	95.4424300551344
1708	1708	99.9049815059982
1709	1709	93.3375806704887
1710	1710	96.1035487885957
1711	1711	94.2854722715772
1712	1712	95.1118706884038
1713	1713	99.9876213476808
1714	1714	93.993243047342
1715	1715	89.6576411373481
1716	1716	92.9632348046546
1717	1717	94.0375527465292
1718	1718	96.2880613663282
1719	1719	93.993243047342
1720	1720	94.6489054241952
1721	1721	97.3431464138357
1722	1722	97.756345622249
1723	1723	97.3431464138357
1724	1724	96.1035487885957
1725	1725	97.756345622249
1726	1726	96.5993878386917
1727	1727	97.1778667304703
1728	1728	89.7314375977961
1729	1729	90.0708403457614
1730	1730	95.9602301779016
1731	1731	92.6819182936356
1732	1732	97.271554931608
1733	1733	94.8639511633558
1734	1734	96.9437237431814
1735	1735	95.9602301779016
1736	1736	94.3210742357686
1737	1737	95.5250698968171
1738	1738	97.9216253056143
1739	1739	94.6489054241952
1740	1740	95.3045678010484
1741	1741	94.0375527465292
1742	1742	95.632398989475
1743	1743	94.3210742357686
1744	1744	96.8473073637397
1745	1745	95.3045678010484
1746	1746	98.9133034058062
1747	1747	80.154059343842
1748	1748	97.3431464138356
1749	1749	90.0708403457614
1750	1750	95.6077097384998
1751	1751	110.482881241379
1752	1752	95.3597902134518
1753	1753	95.7729894218651
1754	1754	89.1618020872521
1755	1755	87.5916450952816
1756	1756	87.0958060451856
1757	1757	84.8139697713971
1758	1758	98.4174643557102
1759	1759	91.3705935399291
1760	1760	88.5006833537909
1761	1761	104.450172798545
1762	1762	95.2493675119284
1763	1763	88.7479440325163
1764	1764	91.9715567044626
1765	1765	96.764667522057
1766	1766	88.8312427205215
1767	1767	89.1778039075832
1768	1768	85.7974633366769
1769	1769	93.7896332214812
1770	1770	103.127935331622
1771	1771	104.61545248191
1772	1772	110.732378939052
1773	1773	105.359211057054
1774	1774	103.458494698353
1775	1775	93.7069933797985
1776	1776	95.1118706884038
1777	1777	93.1285144880199
1778	1778	99.7397018226328
1779	1779	95.6903495801824
1780	1780	94.3210742357686
1781	1781	87.7644504672365
1783	1783	111.029388033125
1784	1784	109.54434256276
1787	1787	99.2385420621676
1788	1788	99.9049815059982
1789	1789	102.962655648257
1790	1790	98.2550484968878
1791	1791	92.7153152796066
1792	1792	85.525649053215
1793	1793	111.22739409584
1794	1794	107.663284966964
1795	1795	98.6653838807582
1796	1796	97.9216253056143
1797	1797	101.227218972921
1798	1798	100.070261189363
1800	1800	97.8389854639316
1802	1802	100.318180714411
1804	1804	102.301536914795
1805	1805	96.8473073637397
1806	1806	97.012587047105
1808	1808	95.117985789043
1809	1809	102.797375964891
1810	1810	98.2550484968878
1811	1811	101.557778339651
1812	1812	94.6489054241952
1813	1813	96.2880613663282
EZ5	EZ5	100.979299447873
GS179	GS179	104.157642604236
GS190	GS190	98.584512400984
GS193	GS193	93.0113821977317
GS202	GS202	100.223668343117
GS208	GS208	91.7000574440253
GS209	GS209	98.9123435894106
GS210	GS210	89.7330703134656
GS211	GS211	NA
GS212	GS212	94.3227069514381
GS217	GS217	104.157642604236
GS218	GS218	100.223668343117
GS228	GS228	93.6670445745849
GS230	GS230	88.7495767481858
GS232	GS232	98.2566812125573
GS233	GS233	94.9783693282913
GS234	GS234	98.584512400984
GS235	GS235	97.2731876472775
L10	L10	100.318180714411
L11	L11	103.37585485667
L1	L1	101.604433175032
L13	L13	100.979299447873
L14	L14	105.554708677327
L15	L15	104.073355363966
L16	L16	102.098217612819
L17	L17	100.814019764507
L18	L18	101.475138497969
L19	L19	86.2971156036362
L20	L20	79.906139818794
L21	L21	93.9507743893339
L2	L2	103.579570926179
L22	L22	95.6077097384998
L23	L23	81.3936569690819
L24	L24	82.5937323202341
L25	L25	77.0963852015835
L26	L26	95.4321277026948
L27	L27	80.3193390272073
L28	L28	87.8395646203296
L29	L29	89.4923614539828
L3	L3	107.036061990688
L4	L4	106.048493115114
L5	L5	99.7397018226328
L6	L6	97.9216253056143
L7	L7	97.260506572153
L8	L8	98.9133034058062
L9	L9	105.554708677327
wyj30	wyj30	96.1861886302784
Y10	Y10	65.8573667327415
Y104	Y104	73.4829298415552
Y105	Y105	69.410879925096
Y106	Y106	83.0464538027352
Y107	Y107	71.3942361254799
Y108	Y108	66.2705659411548
Y109	Y109	68.1712822998561
Y110	Y110	64.535129265819
Y11	Y11	64.8656886325496
Y114	Y114	68.8324010333174
Y1	Y1	64.7004089491843
Y121	Y121	67.5101635663948
Y12	Y12	70.3199181836053
Y123	Y123	72.6338337507198
Y125	Y125	68.4192018249041
Y131	Y131	75.1956688428823
Y13	Y13	71.3115962837972
Y14	Y14	66.2705659411548
Y15	Y15	68.915040875
Y17	Y17	69.5761596084613
Y18	Y18	66.0226464161069
Y19	Y19	71.8900751755758
Y20	Y20	71.2289564421146
Y210	Y210	87.5916450952816
Y21	Y21	70.5678377086533
Y219	Y219	89.2444419289348
Y2	Y2	69.5761596084613
Y220	Y220	82.2200553859086
Y22	Y22	64.7830487908669
Y229	Y229	67.9233627748081
Y23	Y23	66.6837651495682
Y24	Y24	72.9643931174504
Y243	Y243	66.6837651495682
Y244	Y244	64.535129265819
Y245	Y245	70.3199181836053
Y246	Y246	66.9316846746162
Y247	Y247	79.5755804520634
Y248	Y248	73.1393128276417
Y249	Y249	71.1592522004884
Y250	Y250	71.3572582632038
Y251	Y251	79.1623812436501
Y25	Y25	70.9810369170666
Y252	Y252	71.0450598574797
Y253	Y253	69.410879925096
Y254	Y254	75.030389159517
Y255	Y255	91.4575580901747
Y256	Y256	86.828855345728
Y257	Y257	84.9477977499324
Y3	Y3	70.5678377086533
Y4	Y4	70.7331173920186
Y42	Y42	77.0963852015835
Y5	Y5	71.4768759671625
Y6	Y6	65.4441675243282
Y7	Y7	66.0226464161069
Y8	Y8	66.1879260994722
Y86	Y86	66.3532057828375
Y87	Y87	67.7580830914428
Y88	Y88	70.8983970753839
Y90	Y90	69.658799450144
Y91	Y91	70.15463850024
Y9	Y9	69.8240791335093
Y92	Y92	71.2289564421146
Y94	Y94	71.3942361254799
Y95	Y95	76.9311055182182
Y96	Y96	78.9144617186021
Y97	Y97	71.7247954922105
Y99	Y99	75.278308684565
yangzhou_199_100	yangzhou_199_100	87.0958060451856
yangzhou_199_101	yangzhou_199_101	86.1867677866763
yangzhou_199_10	yangzhou_199_10	88.6659630371562
yangzhou_199_102	yangzhou_199_102	90.9798786042707
yangzhou_199_103	yangzhou_199_103	88.5006833537909
yangzhou_199_104	yangzhou_199_104	85.525649053215
yangzhou_199_105	yangzhou_199_105	86.517327153407
yangzhou_199_106	yangzhou_199_106	85.8562084199457
yangzhou_199_107	yangzhou_199_107	86.6826068367723
yangzhou_199_108	yangzhou_199_108	93.8722730631639
yangzhou_199_109	yangzhou_199_109	87.9222044620122
yangzhou_199_110	yangzhou_199_110	95.0292308467211
yangzhou_199_111	yangzhou_199_111	86.6826068367723
yangzhou_199_11	yangzhou_199_11	87.6742849369642
yangzhou_199_112	yangzhou_199_112	89.3270817706175
yangzhou_199_113	yangzhou_199_113	95.9382691052304
yangzhou_199_114	yangzhou_199_114	98.0869049889796
yangzhou_199_115	yangzhou_199_115	101.805697864699
yangzhou_199_116	yangzhou_199_116	109.54434256276
yangzhou_199_117	yangzhou_199_117	103.458494698353
yangzhou_199_118	yangzhou_199_118	99.9049815059982
yangzhou_199_119	yangzhou_199_119	98.4174643557102
yangzhou_199_1	yangzhou_199_1	89.3270817706175
yangzhou_199_120	yangzhou_199_120	101.061939289555
yangzhou_199_121	yangzhou_199_121	104.119613431814
yangzhou_199_12	yangzhou_199_12	88.9965224038868
yangzhou_199_122	yangzhou_199_122	96.764667522057
yangzhou_199_123	yangzhou_199_123	94.9465910050385
yangzhou_199_124	yangzhou_199_124	100.979299447873
yangzhou_199_125	yangzhou_199_125	99.9876213476808
yangzhou_199_126	yangzhou_199_126	95.5250698968171
yangzhou_199_127	yangzhou_199_127	103.789054065083
yangzhou_199_128	yangzhou_199_128	100.814019764507
yangzhou_199_129	yangzhou_199_129	99.9049815059982
yangzhou_199_130	yangzhou_199_130	102.962655648257
yangzhou_199_131	yangzhou_199_131	103.293215014987
yangzhou_199_13	yangzhou_199_13	93.4590738547505
yangzhou_199_132	yangzhou_199_132	103.458494698353
yangzhou_199_133	yangzhou_199_133	95.1118706884038
yangzhou_199_134	yangzhou_199_134	92.136836387828
yangzhou_199_135	yangzhou_199_135	104.532812640227
yangzhou_199_136	yangzhou_199_136	93.2111543297026
yangzhou_199_137	yangzhou_199_137	93.7069933797985
yangzhou_199_138	yangzhou_199_138	95.0292308467211
yangzhou_199_139	yangzhou_199_139	103.871693906766
yangzhou_199_140	yangzhou_199_140	92.7979551212892
yangzhou_199_141	yangzhou_199_141	95.6903495801824
yangzhou_199_14	yangzhou_199_14	86.9305263618203
yangzhou_199_142	yangzhou_199_142	98.4174643557102
yangzhou_199_143	yangzhou_199_143	101.475138497969
yangzhou_199_144	yangzhou_199_144	101.227218972921
yangzhou_199_145	yangzhou_199_145	89.9055606623961
yangzhou_199_146	yangzhou_199_146	96.268828471961
yangzhou_199_147	yangzhou_199_147	87.8395646203295
yangzhou_199_148	yangzhou_199_148	89.6576411373481
yangzhou_199_149	yangzhou_199_149	86.1867677866763
yangzhou_199_150	yangzhou_199_150	86.765246678455
yangzhou_199_151	yangzhou_199_151	79.9887796604767
yangzhou_199_15	yangzhou_199_15	97.260506572153
yangzhou_199_152	yangzhou_199_152	87.2610857285509
yangzhou_199_153	yangzhou_199_153	86.5999669950896
yangzhou_199_154	yangzhou_199_154	80.2366991855247
yangzhou_199_155	yangzhou_199_155	85.1124498448017
yangzhou_199_156	yangzhou_199_156	86.8478865201376
yangzhou_199_157	yangzhou_199_157	83.5422928528311
yangzhou_199_158	yangzhou_199_158	93.5417136964332
yangzhou_199_159	yangzhou_199_159	87.8395646203295
yangzhou_199_160	yangzhou_199_160	95.7729894218651
yangzhou_199_161	yangzhou_199_161	95.4424300551344
yangzhou_199_16	yangzhou_199_16	99.0785830891715
yangzhou_199_162	yangzhou_199_162	86.021488103311
yangzhou_199_163	yangzhou_199_163	82.7158944360045
yangzhou_199_164	yangzhou_199_164	72.3032743839892
yangzhou_199_165	yangzhou_199_165	64.2045698990883
yangzhou_199_166	yangzhou_199_166	65.5268073660109
yangzhou_199_167	yangzhou_199_167	67.0143245162988
yangzhou_199_168	yangzhou_199_168	82.9638139610525
yangzhou_199_169	yangzhou_199_169	82.8811741193699
yangzhou_199_170	yangzhou_199_170	83.0464538027352
yangzhou_199_171	yangzhou_199_171	83.0464538027352
yangzhou_199_17	yangzhou_199_17	98.5827440390756
yangzhou_199_172	yangzhou_199_172	84.8645303197537
yangzhou_199_173	yangzhou_199_173	93.7069933797985
yangzhou_199_174	yangzhou_199_174	99.2438627725369
yangzhou_199_175	yangzhou_199_175	97.0952268887876
yangzhou_199_176	yangzhou_199_176	98.5001041973929
yangzhou_199_177	yangzhou_199_177	86.765246678455
yangzhou_199_178	yangzhou_199_178	87.0131662035029
yangzhou_199_179	yangzhou_199_179	84.5339709530231
yangzhou_199_180	yangzhou_199_180	75.4435883679303
yangzhou_199_181	yangzhou_199_181	85.1950896864844
yangzhou_199_18	yangzhou_199_18	97.3431464138357
yangzhou_199_182	yangzhou_199_182	85.8562084199457
yangzhou_199_183	yangzhou_199_183	87.3437255702336
yangzhou_199_184	yangzhou_199_184	91.0625184459534
yangzhou_199_185	yangzhou_199_185	93.8722730631638
yangzhou_199_186	yangzhou_199_186	84.0381319029271
yangzhou_199_187	yangzhou_199_187	83.7075725361965
yangzhou_199_188	yangzhou_199_188	77.4269445683142
yangzhou_199_189	yangzhou_199_189	85.277729528167
yangzhou_199_190	yangzhou_199_190	89.4923614539828
yangzhou_199_191	yangzhou_199_191	95.3597902134518
yangzhou_199_19	yangzhou_199_19	98.2521846723449
yangzhou_199_192	yangzhou_199_192	101.309858814603
yangzhou_199_193	yangzhou_199_193	89.4923614539828
yangzhou_199_194	yangzhou_199_194	86.6826068367723
yangzhou_199_195	yangzhou_199_195	106.516168840611
yangzhou_199_196	yangzhou_199_196	93.3764340130679
yangzhou_199_197	yangzhou_199_197	98.9133034058062
yangzhou_199_198	yangzhou_199_198	99.8223416643155
yangzhou_199_199	yangzhou_199_199	101.557778339651
yangzhou_199_20	yangzhou_199_20	96.1861886302784
yangzhou_199_21	yangzhou_199_21	98.5001041973929
yangzhou_199_2	yangzhou_199_2	87.5090052535989
yangzhou_199_22	yangzhou_199_22	88.9965224038868
yangzhou_199_23	yangzhou_199_23	94.7813113216731
yangzhou_199_24	yangzhou_199_24	87.6742849369642
yangzhou_199_25	yangzhou_199_25	96.268828471961
yangzhou_199_26	yangzhou_199_26	96.8473073637397
yangzhou_199_27	yangzhou_199_27	88.0048443036949
yangzhou_199_28	yangzhou_199_28	99.6570619809502
yangzhou_199_29	yangzhou_199_29	85.6909287365803
yangzhou_199_30	yangzhou_199_30	94.5333917966251
yangzhou_199_31	yangzhou_199_31	96.1035487885957
yangzhou_199_3	yangzhou_199_3	87.1784458868683
yangzhou_199_32	yangzhou_199_32	96.764667522057
yangzhou_199_33	yangzhou_199_33	95.2771503717691
yangzhou_199_34	yangzhou_199_34	97.3431464138357
yangzhou_199_35	yangzhou_199_35	95.3597902134518
yangzhou_199_36	yangzhou_199_36	100.400820556094
yangzhou_199_37	yangzhou_199_37	101.061939289555
yangzhou_199_38	yangzhou_199_38	91.8062770210973
yangzhou_199_39	yangzhou_199_39	92.0541965461453
yangzhou_199_40	yangzhou_199_40	94.1201925882118
yangzhou_199_41	yangzhou_199_41	94.4507519549425
yangzhou_199_4	yangzhou_199_4	93.3764340130679
yangzhou_199_42	yangzhou_199_42	87.0131662035029
yangzhou_199_43	yangzhou_199_43	88.1701239870602
yangzhou_199_44	yangzhou_199_44	94.3681121132598
yangzhou_199_45	yangzhou_199_45	96.764667522057
yangzhou_199_46	yangzhou_199_46	98.0869049889796
yangzhou_199_47	yangzhou_199_47	95.4424300551344
yangzhou_199_48	yangzhou_199_48	99.7397018226328
yangzhou_199_49	yangzhou_199_49	107.861291029679
yangzhou_199_50	yangzhou_199_50	101.227218972921
yangzhou_199_51	yangzhou_199_51	87.2610857285509
yangzhou_199_5	yangzhou_199_5	89.6576411373481
yangzhou_199_52	yangzhou_199_52	97.5910659388836
yangzhou_199_53	yangzhou_199_53	89.6576411373481
yangzhou_199_54	yangzhou_199_54	95.2771503717691
yangzhou_199_55	yangzhou_199_55	99.0785830891715
yangzhou_199_56	yangzhou_199_56	96.4341081553264
yangzhou_199_57	yangzhou_199_57	99.1612229308542
yangzhou_199_58	yangzhou_199_58	85.8562084199457
yangzhou_199_59	yangzhou_199_59	91.9715567044626
yangzhou_199_60	yangzhou_199_60	99.2438627725369
yangzhou_199_61	yangzhou_199_61	102.632096281526
yangzhou_199_6	yangzhou_199_6	89.8229208207134
yangzhou_199_62	yangzhou_199_62	91.3104379710013
yangzhou_199_63	yangzhou_199_63	101.805697864699
yangzhou_199_64	yangzhou_199_64	101.309858814603
yangzhou_199_65	yangzhou_199_65	98.0869049889796
yangzhou_199_66	yangzhou_199_66	97.4257862555183
yangzhou_199_67	yangzhou_199_67	93.5417136964332
yangzhou_199_68	yangzhou_199_68	100.566100239459
yangzhou_199_69	yangzhou_199_69	98.2521846723449
yangzhou_199_70	yangzhou_199_70	100.89665960619
yangzhou_199_71	yangzhou_199_71	93.9549129048465
yangzhou_199_7	yangzhou_199_7	92.4673957545586
yangzhou_199_72	yangzhou_199_72	94.4507519549425
yangzhou_199_73	yangzhou_199_73	90.9798786042707
yangzhou_199_74	yangzhou_199_74	98.5827440390756
