FID	IID	TNP_BLUP
1701	1701	8.61040567770744
1702	1702	9.28797625673708
1703	1703	8.89440695234708
1704	1704	7.53245248379666
1705	1705	7.59404980916299
1706	1706	8.07346090019321
1707	1707	8.57960701502428
1708	1708	8.36401637624212
1709	1709	7.51102641822191
1710	1710	8.51800968965795
1711	1711	8.08682841209364
1712	1712	8.05602974941047
1713	1713	6.82408324208386
1714	1714	7.80226442540615
1715	1715	7.16286853159868
1716	1716	7.87123777331148
1717	1717	7.99443242404414
1718	1718	7.54743116911994
1719	1719	7.83866917630419
1720	1720	8.05709768169237
1721	1721	8.24082172550946
1722	1722	7.47085515843033
1723	1723	8.51800968965795
1724	1724	7.5016538211135
1725	1725	8.51800968965795
1726	1726	10.0579428238162
1727	1727	8.33321771355896
1728	1728	7.51102641822191
1729	1729	7.99443242404414
1730	1730	8.20271668528449
1731	1731	9.07643070683723
1732	1732	8.42114519067268
1733	1733	8.64120434039061
1734	1734	7.54743116911994
1735	1735	8.34833568887661
1736	1736	8.53035944336677
1737	1737	8.27162038819263
1738	1738	8.30241905087579
1739	1739	7.21978841103766
1740	1740	7.32900266373175
1741	1741	7.10127120623235
1742	1742	7.94788342899828
1743	1743	7.65664542181403
1744	1744	7.47085515843033
1745	1745	7.69305017271206
1746	1746	7.13206986891552
1747	1747	7.44005649574717
1748	1748	8.17922440014313
1749	1749	8.2100230628263
1750	1750	7.19366719428185
1751	1751	8.2100230628263
1752	1752	8.08682841209364
1753	1753	8.36401637624212
1754	1754	9.84235218503405
1755	1755	7.96363376136098
1756	1756	9.38037224478657
1757	1757	8.67597844695889
1758	1758	9.47276823283607
1759	1759	8.23912143618252
1760	1760	8.7336003284401
1761	1761	10.3043321252815
1762	1762	9.18564495953132
1763	1763	9.22204971042935
1764	1764	8.48721102697479
1765	1765	8.17922440014313
1766	1766	8.76439899112327
1767	1767	8.70280166575694
1768	1768	8.38474043977465
1769	1769	9.38037224478657
1770	1770	10.4891241013805
1771	1771	9.90394951040038
1772	1772	8.64120434039061
1773	1773	8.85679497917277
1774	1774	8.30241905087579
1775	1775	7.87123777331148
1776	1776	9.50356689551923
1777	1777	9.16478160600442
1778	1778	8.17922440014313
1779	1779	8.14842573745997
1780	1780	8.96721645414314
1781	1781	9.4040734649195
1783	1783	9.56516422088557
1784	1784	9.93474817308355
1787	1787	8.23912143618252
1788	1788	8.1176270747768
1789	1789	9.41117090746974
1790	1790	9.0400259559392
1791	1791	7.5016538211135
1792	1792	7.52738963672275
1793	1793	9.5343655582024
1794	1794	8.9183923045391
1795	1795	8.36401637624212
1796	1796	8.45641236429162
1797	1797	9.80452572479784
1798	1798	8.97998962990543
1800	1800	9.13398294332125
1802	1802	8.54880835234112
1804	1804	8.27162038819263
1805	1805	9.59596288356873
1806	1806	7.03967388086602
1808	1808	7.07047254354919
1809	1809	8.51800968965795
1810	1810	8.5667641942648
1811	1811	9.99634549844988
1812	1812	8.20271668528449
1813	1813	9.07643070683723
EZ5	EZ5	8.70280166575694
GS179	GS179	7.78058782336776
GS190	GS190	7.11299965504621
GS193	GS193	7.11299965504621
GS202	GS202	7.33552904448673
GS208	GS208	13.3438225593807
GS209	GS209	8.00311721280828
GS210	GS210	7.78058782336776
GS211	GS211	NA
GS212	GS212	8.2256466022488
GS217	GS217	8.44817599168932
GS218	GS218	12.0086462227376
GS228	GS228	9.11576416001087
GS230	GS230	9.11576416001087
GS232	GS232	8.44817599168932
GS233	GS233	8.44817599168932
GS234	GS234	8.44817599168932
GS235	GS235	8.00311721280828
L10	L10	7.409257833064
L11	L11	8.42561370160845
L1	L1	11.5319122355061
L13	L13	8.2100230628263
L14	L14	8.43750840917351
L15	L15	8.61953216366367
L16	L16	9.71167469060459
L17	L17	9.01078829258859
L18	L18	8.27162038819263
L19	L19	7.7094133912129
L20	L20	8.96721645414314
L21	L21	7.89143714570305
L2	L2	10.9858409720357
L22	L22	7.59404980916299
L23	L23	9.6267615462519
L24	L24	8.07346090019321
L25	L25	8.53035944336677
L26	L26	7.7094133912129
L27	L27	7.91147867810025
L28	L28	7.74804312257882
L29	L29	9.87315084771722
L3	L3	12.4420310079569
L4	L4	7.78058782336776
L5	L5	11.8134665967566
L6	L6	8.9183923045391
L7	L7	8.39481503892529
L8	L8	7.96363376136098
L9	L9	10.4397697085652
wyj30	wyj30	7.56325114647983
Y10	Y10	9.65756020893506
Y104	Y104	8.25548465468336
Y105	Y105	7.34766050769767
Y106	Y106	8.33321771355896
Y107	Y107	7.16286853159868
Y108	Y108	8.42561370160846
Y109	Y109	7.99443242404414
Y110	Y110	8.16113620883758
Y11	Y11	10.1811374745489
Y114	Y114	8.1176270747768
Y1	Y1	7.74804312257882
Y121	Y121	8.85679497917277
Y12	Y12	9.99634549844988
Y123	Y123	7.68644579721249
Y125	Y125	8.14842573745997
Y131	Y131	7.80964044794515
Y13	Y13	9.5343655582024
Y14	Y14	7.93283509867781
Y15	Y15	10.3043321252815
Y17	Y17	8.27162038819263
Y18	Y18	8.85679497917277
Y19	Y19	9.25717759405391
Y20	Y20	6.7932845794007
Y210	Y210	7.77688889520929
Y21	Y21	8.24082172550946
Y219	Y219	9.56072168921279
Y2	Y2	9.47276823283607
Y220	Y220	8.86903142215021
Y22	Y22	8.97998962990543
Y229	Y229	8.68700766766006
Y23	Y23	8.17922440014313
Y24	Y24	9.04158695527176
Y243	Y243	9.48791218741673
Y244	Y244	8.83262667125218
Y245	Y245	9.0874599275384
Y246	Y246	8.43217441137384
Y247	Y247	8.06812690239354
Y248	Y248	7.44924613712701
Y249	Y249	8.94184092394627
Y250	Y250	9.12386467843643
Y251	Y251	8.28655540778172
Y25	Y25	9.28797625673708
Y252	Y252	8.20564208672569
Y253	Y253	7.55846038982111
Y254	Y254	8.06812690239354
Y255	Y255	8.0317221514955
Y256	Y256	8.28655540778172
Y257	Y257	7.52205563892308
Y3	Y3	8.1176270747768
Y4	Y4	9.6267615462519
Y42	Y42	8.57960701502428
Y5	Y5	8.36401637624212
Y6	Y6	9.10318428063809
Y7	Y7	8.7336003284401
Y8	Y8	8.39481503892529
Y86	Y86	7.37845917038084
Y87	Y87	9.81155352235089
Y88	Y88	8.42561370160846
Y90	Y90	8.67200300307378
Y91	Y91	8.57960701502428
Y9	Y9	8.42561370160845
Y92	Y92	8.88759364185593
Y94	Y94	7.59404980916299
Y95	Y95	8.64120434039061
Y96	Y96	7.5016538211135
Y97	Y97	8.14842573745997
Y99	Y99	8.8259963164896
yangzhou_199_100	yangzhou_199_100	7.56325114647983
yangzhou_199_101	yangzhou_199_101	8.79519765380644
yangzhou_199_10	yangzhou_199_10	7.99443242404414
yangzhou_199_102	yangzhou_199_102	7.77884178526199
yangzhou_199_103	yangzhou_199_103	7.409257833064
yangzhou_199_104	yangzhou_199_104	8.61040567770745
yangzhou_199_105	yangzhou_199_105	9.31877491942024
yangzhou_199_106	yangzhou_199_106	8.64120434039061
yangzhou_199_107	yangzhou_199_107	8.88759364185593
yangzhou_199_108	yangzhou_199_108	7.90203643599465
yangzhou_199_109	yangzhou_199_109	8.08682841209364
yangzhou_199_110	yangzhou_199_110	7.47085515843033
yangzhou_199_111	yangzhou_199_111	8.33321771355896
yangzhou_199_11	yangzhou_199_11	8.2100230628263
yangzhou_199_112	yangzhou_199_112	7.90203643599465
yangzhou_199_113	yangzhou_199_113	8.33321771355896
yangzhou_199_114	yangzhou_199_114	7.68644579721249
yangzhou_199_115	yangzhou_199_115	8.05602974941047
yangzhou_199_116	yangzhou_199_116	7.68644579721249
yangzhou_199_117	yangzhou_199_117	8.45641236429162
yangzhou_199_118	yangzhou_199_118	8.08682841209364
yangzhou_199_119	yangzhou_199_119	7.74804312257882
yangzhou_199_1	yangzhou_199_1	9.38037224478657
yangzhou_199_120	yangzhou_199_120	7.87123777331148
yangzhou_199_121	yangzhou_199_121	7.80964044794515
yangzhou_199_12	yangzhou_199_12	7.44005649574717
yangzhou_199_122	yangzhou_199_122	8.33321771355896
yangzhou_199_123	yangzhou_199_123	8.88759364185593
yangzhou_199_124	yangzhou_199_124	8.27162038819263
yangzhou_199_125	yangzhou_199_125	8.14842573745997
yangzhou_199_126	yangzhou_199_126	7.56325114647983
yangzhou_199_127	yangzhou_199_127	7.94788342899828
yangzhou_199_128	yangzhou_199_128	7.87123777331148
yangzhou_199_129	yangzhou_199_129	9.4419695701529
yangzhou_199_130	yangzhou_199_130	8.7336003284401
yangzhou_199_131	yangzhou_199_131	7.10127120623235
yangzhou_199_13	yangzhou_199_13	7.80226442540615
yangzhou_199_132	yangzhou_199_132	7.13206986891552
yangzhou_199_133	yangzhou_199_133	8.67200300307378
yangzhou_199_134	yangzhou_199_134	7.56325114647983
yangzhou_199_135	yangzhou_199_135	7.56325114647983
yangzhou_199_136	yangzhou_199_136	6.7932845794007
yangzhou_199_137	yangzhou_199_137	7.19366719428185
yangzhou_199_138	yangzhou_199_138	6.85488190476703
yangzhou_199_139	yangzhou_199_139	7.53245248379666
yangzhou_199_140	yangzhou_199_140	7.25526451964818
yangzhou_199_141	yangzhou_199_141	7.96363376136098
yangzhou_199_14	yangzhou_199_14	7.74804312257882
yangzhou_199_142	yangzhou_199_142	6.7008885913512
yangzhou_199_143	yangzhou_199_143	7.00887521818286
yangzhou_199_144	yangzhou_199_144	6.33130463915322
yangzhou_199_145	yangzhou_199_145	5.96172068695524
yangzhou_199_146	yangzhou_199_146	6.57769394061854
yangzhou_199_147	yangzhou_199_147	6.23890865110373
yangzhou_199_148	yangzhou_199_148	7.22446585696501
yangzhou_199_149	yangzhou_199_149	7.10127120623235
yangzhou_199_150	yangzhou_199_150	8.30241905087579
yangzhou_199_151	yangzhou_199_151	6.82408324208386
yangzhou_199_15	yangzhou_199_15	8.08682841209364
yangzhou_199_152	yangzhou_199_152	7.99443242404414
yangzhou_199_153	yangzhou_199_153	7.65564713452932
yangzhou_199_154	yangzhou_199_154	6.97807655549969
yangzhou_199_155	yangzhou_199_155	8.02523108672731
yangzhou_199_156	yangzhou_199_156	8.17922440014313
yangzhou_199_157	yangzhou_199_157	8.08682841209364
yangzhou_199_158	yangzhou_199_158	6.67008992866804
yangzhou_199_159	yangzhou_199_159	7.56325114647983
yangzhou_199_160	yangzhou_199_160	8.76439899112327
yangzhou_199_161	yangzhou_199_161	9.01078829258859
yangzhou_199_16	yangzhou_199_16	7.19366719428185
yangzhou_199_162	yangzhou_199_162	8.57960701502428
yangzhou_199_163	yangzhou_199_163	8.7336003284401
yangzhou_199_164	yangzhou_199_164	7.84043911062832
yangzhou_199_165	yangzhou_199_165	7.71724445989565
yangzhou_199_166	yangzhou_199_166	9.65756020893506
yangzhou_199_167	yangzhou_199_167	8.94919096722226
yangzhou_199_168	yangzhou_199_168	6.94727789281653
yangzhou_199_169	yangzhou_199_169	6.57769394061854
yangzhou_199_170	yangzhou_199_170	6.54689527793538
yangzhou_199_171	yangzhou_199_171	7.37845917038084
yangzhou_199_17	yangzhou_199_17	7.25526451964818
yangzhou_199_172	yangzhou_199_172	7.47085515843033
yangzhou_199_173	yangzhou_199_173	8.33321771355896
yangzhou_199_174	yangzhou_199_174	7.44005649574717
yangzhou_199_175	yangzhou_199_175	7.71724445989565
yangzhou_199_176	yangzhou_199_176	7.80964044794515
yangzhou_199_177	yangzhou_199_177	7.37845917038084
yangzhou_199_178	yangzhou_199_178	7.34766050769767
yangzhou_199_179	yangzhou_199_179	6.8856805674502
yangzhou_199_180	yangzhou_199_180	7.34766050769767
yangzhou_199_181	yangzhou_199_181	8.30241905087579
yangzhou_199_18	yangzhou_199_18	7.80964044794515
yangzhou_199_182	yangzhou_199_182	8.17922440014313
yangzhou_199_183	yangzhou_199_183	9.28797625673708
yangzhou_199_184	yangzhou_199_184	8.42561370160845
yangzhou_199_185	yangzhou_199_185	7.90203643599465
yangzhou_199_186	yangzhou_199_186	8.02523108672731
yangzhou_199_187	yangzhou_199_187	8.94919096722226
yangzhou_199_188	yangzhou_199_188	8.14842573745997
yangzhou_199_189	yangzhou_199_189	7.34766050769767
yangzhou_199_190	yangzhou_199_190	9.47276823283607
yangzhou_199_191	yangzhou_199_191	7.44005649574717
yangzhou_199_19	yangzhou_199_19	7.13206986891552
yangzhou_199_192	yangzhou_199_192	7.87123777331148
yangzhou_199_193	yangzhou_199_193	9.34957358210341
yangzhou_199_194	yangzhou_199_194	7.80964044794515
yangzhou_199_195	yangzhou_199_195	7.47085515843033
yangzhou_199_196	yangzhou_199_196	6.73168725403437
yangzhou_199_197	yangzhou_199_197	8.2100230628263
yangzhou_199_198	yangzhou_199_198	7.59404980916299
yangzhou_199_199	yangzhou_199_199	7.74804312257882
yangzhou_199_20	yangzhou_199_20	7.44005649574717
yangzhou_199_21	yangzhou_199_21	7.28606318233134
yangzhou_199_2	yangzhou_199_2	8.79519765380644
yangzhou_199_22	yangzhou_199_22	9.4419695701529
yangzhou_199_23	yangzhou_199_23	8.14842573745997
yangzhou_199_24	yangzhou_199_24	7.90203643599465
yangzhou_199_25	yangzhou_199_25	8.51800968965795
yangzhou_199_26	yangzhou_199_26	8.70280166575694
yangzhou_199_27	yangzhou_199_27	8.39481503892529
yangzhou_199_28	yangzhou_199_28	8.2100230628263
yangzhou_199_29	yangzhou_199_29	8.61040567770745
yangzhou_199_30	yangzhou_199_30	8.2100230628263
yangzhou_199_31	yangzhou_199_31	8.98357967264397
yangzhou_199_3	yangzhou_199_3	10.2427347999152
yangzhou_199_32	yangzhou_199_32	7.87123777331148
yangzhou_199_33	yangzhou_199_33	8.67200300307378
yangzhou_199_34	yangzhou_199_34	8.54880835234111
yangzhou_199_35	yangzhou_199_35	8.67200300307378
yangzhou_199_36	yangzhou_199_36	7.53245248379666
yangzhou_199_37	yangzhou_199_37	7.62484847184616
yangzhou_199_38	yangzhou_199_38	7.62484847184616
yangzhou_199_39	yangzhou_199_39	8.48721102697479
yangzhou_199_40	yangzhou_199_40	9.4419695701529
yangzhou_199_41	yangzhou_199_41	8.76439899112327
yangzhou_199_4	yangzhou_199_4	8.64120434039061
yangzhou_199_42	yangzhou_199_42	8.17922440014313
yangzhou_199_43	yangzhou_199_43	8.67200300307378
yangzhou_199_44	yangzhou_199_44	7.77884178526199
yangzhou_199_45	yangzhou_199_45	8.33321771355896
yangzhou_199_46	yangzhou_199_46	7.65564713452932
yangzhou_199_47	yangzhou_199_47	7.62484847184616
yangzhou_199_48	yangzhou_199_48	8.27162038819263
yangzhou_199_49	yangzhou_199_49	8.57960701502428
yangzhou_199_50	yangzhou_199_50	8.24082172550946
yangzhou_199_51	yangzhou_199_51	8.33321771355896
yangzhou_199_5	yangzhou_199_5	8.88759364185593
yangzhou_199_52	yangzhou_199_52	8.27162038819263
yangzhou_199_53	yangzhou_199_53	8.48721102697479
yangzhou_199_54	yangzhou_199_54	8.48721102697479
yangzhou_199_55	yangzhou_199_55	8.30241905087579
yangzhou_199_56	yangzhou_199_56	8.42561370160846
yangzhou_199_57	yangzhou_199_57	7.409257833064
yangzhou_199_58	yangzhou_199_58	8.24082172550946
yangzhou_199_59	yangzhou_199_59	8.54880835234112
yangzhou_199_60	yangzhou_199_60	7.16286853159868
yangzhou_199_61	yangzhou_199_61	8.08682841209364
yangzhou_199_6	yangzhou_199_6	8.61040567770744
yangzhou_199_62	yangzhou_199_62	8.48721102697479
yangzhou_199_63	yangzhou_199_63	7.65564713452932
yangzhou_199_64	yangzhou_199_64	7.5016538211135
yangzhou_199_65	yangzhou_199_65	7.65564713452932
yangzhou_199_66	yangzhou_199_66	7.62484847184616
